Employer,Job Title/Position,Salary,Job Description,Status
Veterans Health Administration,Lead Safety & Occupational Health,"$88,621 - $115,213","Major duties include but not limited to: Planning, organizing, coordinating, directing and managing a facility wide comprehensive occupational safety and health and industrial hygiene programs. Prepares local occupational safety, industrial hygiene, environmental and fire protection, safe patient handling and emergency management directives and regulations. Eliminate risk of injury, illness or fire to all patients, visitors, contractors and employees at the medical center. Detect hazardous operations and conditions and recommend proper measures to eliminate or minimize the possibility of injury, illness, environmental impact or fire to personnel and property. Coordinates medical center environment of care management plans including the annual assessments and the EOC council. Assures development and implementation of the emergency operations plan, continuity of operations and ongoing preparedness of medical center for all-hazard events. Review grant proposals for inclusion of safeguards",Currently Open
Veterans Health Administration,Lead Supply Technician,"$45,409 - $59,031","This position serves as the Lead Supply Technician (Medical) for the Medical Supply Distribution (MSD) areas of Logistics Service within the VA Health Care System. As a Lead Supply Technician, you will ensure supplies and materials are distributed to all areas serviced by Logistics to provide wards, clinics, operating rooms, secondary storage locations, and other hospital facilities with supplies and material including but not limited to, sterile and non-sterile medical supplies, instrument sets, and equipment. Major duties and responsibilities include: Distributes and balances workload among employees in accordance with established workflow or job specialization and assures timely accomplishment of assigned workload; Monitors status and progress of work and makes day-to-day adjustments in accordance with established priorities; Maintains current knowledge and answers questions of other employees on procedures, policies, directives, or other guidelines as necessary and obtains needed i",Currently Open
Veterans Health Administration,Licensed Practical Nurse (PACT),"$48,902 - $82,157","VA Careers - Licensed Practical Nurse: https://youtube.com/embed/Ae85IP1Oiz4 Total Rewards of a Allied Health Professional Duties include but are not limited to: Provides care to Veterans requiring complex practical nursing care. Demonstrates sufficient skill to resolve a range of nursing problems. LPN requires a general review by the RN for technical soundness, appropriateness, and conformity within policy and procedures. LPN is responsible for the completion of his/her assignment and the quality of care given. LPN is expected to display a professional appearance and attitude while interacting with patients, visitors and other VAMC personnel. Provides float coverage for PACT LPN Staff relief during times of vacancy, scheduled, or unscheduled absence. Pay Scale: V744 Work Schedule: Day Tour of Duty Recruitment Incentive (Sign-on Bonus): Not authorized Permanent Change of Station (Relocation Assistance): Not authorized Pay: Competitive salary and regular salary increases. When setting p",Currently Open
Veterans Health Administration,MEDICAL RECORDS TECH (CODER) A,"$66,505 - $86,461","Auditors must be able to perform all duties of a MRT (Coder). Auditors serve as experts of current coding conventions and guidelines related to professional and facility coding. Auditors perform audits of encounters to identify areas of non-compliance in coding. They facilitate improved overall quality, completeness, and accuracy of coded data.",Currently Open
Veterans Health Administration,MEDICAL RECORDS TECH (CODER) A,"$66,505 - $86,461","General Description For all assignments above the journey level, the higher-level duties must consist of significant scope, complexity/difficulty, range of variety, and be performed by the incumbent at least 25% of the time. Auditors must be able to perform all duties of a MRT -Coder. Auditors serve as experts of current coding conventions and guidelines related to professional and facility coding. Auditors perform audits of encounters to identify areas of non-compliance in coding. They facilitate improved overall quality, completeness, and accuracy of coded data. They provide recommendations on appropriate coding and are responsible for maintaining current knowledge of the various regulatory guidelines and requirements. They assist facility staff with documentation requirements to completely and accurately reflect the patient care provided. They provide technical support in the areas of regulations and policy, coding requirements, resident supervision, reimbursement, workload, accepte",Currently Open
Veterans Health Administration,Maintenance Mechanic,$27 - $31,"The incumbent selects materials and tools, maintains inventory of supplies, determines techniques and tools required, and coordinates with other services and individuals to ensure patient access to care is uninterrupted. Incumbent is responsible for the following duties: Carpentry The incumbent performs carpentry alterations, erection of partitions using wood and metal studs, furring out walls, hanging drywall, hang doors, repair and construct window screens, screen doors, and storm windows and doors, builds forms for concrete. Some lead-lined drywall may be utilized requiring familiarity with procedures for insuring containment of splatter radiation. Install and repair all types of floor coverings such as, asphalt and vinyl tile, wood floors, and carpeting install and repair all types of roofing and guttering and install various types of ceiling tile and track, including fiberglass soundproof ceiling tile. Incumbent uses power tools such as radial saws, band saws, electric hand saws,",Currently Open
Veterans Health Administration,Management Analyst,"$74,678 - $121,371","The employee will serve as the Management Analyst, located in the Data and Information Department of the Veterans Crisis Line (VCL), Veterans Affair (VA). The VCL is a 24-hour, 7-days-a-week, 365-days-a-year service aimed at connecting callers worldwide to a caring, qualified Veterans Administration employee. The VCL's mission is to provide 24/7, world-class suicide prevention and crisis intervention services to Veterans, Service Members and their family members.",Currently Open
Veterans Health Administration,Management Assistant,"$50,460 - $82,007","The employee will serve as the Management Assistant, located in the Business Operations Office, Veterans Crisis Line (VCL), Veterans Affair (VA). The VCL is a 24-hour, 7-days-a-week, 365-days-a-year service aimed at connecting callers worldwide to a caring, qualified Veterans Administration employee. The VCL's mission is to provide 24/7, world-class suicide prevention and crisis intervention services to Veterans, Service Members and their family members.",Currently Open
Veterans Health Administration,Management Assistant,"$50,460 - $82,007","Major duties include but are not limited to: Disseminates information to personnel concerning policies, plans, procedures, methods, and actions of an administrative nature. Provides informal training and clerical/administrative support within VCL on administrative requirements. Controls the maintenance and development of various administrative directives using knowledge of the established content and format requirements. Reviews proposed directives to ensure proper arrangement of material, consistency with existing directives, and proper distribution. Maintains calendar that supports recurring meetings as well as unscheduled activities. Reviews assigned emails and tracks deliverables and deadlines, directing to supervisor or other staff members only those contacts needing their attention or action. Schedules appointments committing the supervisor and appropriate staff to a definite time and place and provides reminders to ensure attendance. Works with VCL and Resources travel staff to",Currently Open
Veterans Health Administration,Management and Program Analyst,"$89,508 - $116,362","The incumbent coordinates population-based studies involving data collection and analysis, statistical forecasting and related methodologies and special projects involving facility-specific or network-wide initiatives. As Facility Planner, the incumbent coordinates and oversees the medical centers planning cycle which involves: Assisting senior leadership in developing planning assumptions Developing a Facility Operating Plan overview to guide medical center services in developing their strategic business plans Integrating service plans into the facility plan Monitoring the implementation of the facility plan. The incumbent develops and implements medical center market plan that: Supports quality health care delivery in a safe environment Improves access to Veterans health care services Promotes patient centered care Demonstrates financial stewardship and effective use of resources Guides future capital investments The incumbent is responsible for identifying gaps in markets requiring",Currently Open
Veterans Health Administration,Materials Handler,$26 - $30,"Major Duties Duties include but are not limited to: Works in the Receiving/Distribution area of Logistics located in the warehouse. - Receives incoming shipments and checks the items against the electronic purchase orders and other related documentation to verify correctness prior to completing the receiving process. Records, annotates and forwards all appropriate information in accordance with current procedures and notes discrepancies such as shortages and damages while ensuring all are resolved in a timely manner. - Maintains the flow of the warehouse by moving, delivering, shelving, storing and inventorying materials and equipment per appropriate procedure. Handles delivering and warehousing materials including hazardous, flammable, and temperature sensitive products. Places items appropriately on shelving, pallets on bins so as to ensure adequate safeguards and access. Ensures product and shelving are marked with corresponding ID numbers. Ensures items are pulled using the First I",Currently Open
Veterans Health Administration,Materials Handler,$22 - $26,"Major duties and responsibilities include but are not limited to: Develops and implements storage plans for assigned area(s) and arranges for movement of supplies between warehouse locations; Consolidates materials, and provide maximum space utilization and protection of materials; Coordinates incoming and outgoing shipments and placement of materials on docking areas; Selects specific storage locations within framework of general warehousing plan; Rotates stock, check for outdated materials and maintains the appropriate safeguards and temperature controls; Handles delivering and warehousing materials including hazardous, flammable and temperature sensitive products; Drives vehicles, trucks or vans not exceeding 4500 pounds vehicular weight, with electrical or hydraulic lift; Groups supplies in a logical and easy access manner while ensuring maximum efficiency of space; Submits monthly reports, status updates, periodic monitors and setting benchmarks; Coordinates all excess/turn-ins of",Currently Open
Veterans Health Administration,Medical Instrument Technician (EKG),"$36,409 - $65,599","Total Rewards of a Allied Health Professional Functions or Scope of Assigned Duties. Functions: - The incumbent will be assigned to the acute care setting working a rotating tour of duty. - In this capacity they will observe the patients on the monitor. They will analyze the ECG strips document finding and report any unusual findings immediately to the RN. These measurements will be conducted according to policy and as requested. - Knowledge of common equipment setting and standardized procedures plus knowledge of common errors and corrective measures. - Ability to modify procedures/positions to obtain the correct results with patients with complicating conditions such as amputation, Parkinson's Disease, structural defects, and scar tissue. - Ability to act as a mentor or preceptor to lower graded technicians or same grade technicians. - Monitors tracings to identify arrythmias when gross abnormalities appear, when to repeat certain procedures, when to stop test procedures, and when to",Currently Open
Veterans Health Administration,Medical Records Administrator (Chief (CHIM)),"$111,147 - $144,493","This position is located in the Health Information Management (HIM) Section of the Durham VA Health Care System. Medical Records Administrators (MRAS) in VHA perform or supervise work concerned with the Management of a health record program or the provision of services related to medical record administration/health information services. MRAs manage, preserve, analyze, and supervise the use of diagnostic and therapeutic health records/HIM.",Currently Open
Veterans Health Administration,Medical Records Adminstrator Specialist,"$40,736 - $97,087",This position is in the Health Information Management (HIM) Section of Health Administration Service (HAS) at the VA Northern Indiana Health Care System (VANIHCS). Medical Records Administration Specialist (MRAS) in VHA performs work concerned with the management of a health record program or the provision of services related to medical record administration/health information services.,Currently Open
Veterans Health Administration,Medical Records Tech (Coder Outpat),"$36,409 - $72,644","A mid-term extension of return to office was received. There is a possibility that the MRT position may be required to report to a local federal facility, should the return to office exemption not be extended further or made permanent. This position is located in the VISN 9 Consolidated Coding Unit. MRTs (Coder) Outpatient are skilled in classifying medical data from patient health records. These coding practitioners analyze and abstract patients' health records, and assign alpha-numeric codes",Currently Open
Veterans Health Administration,Medical Records Tech (Coder Outpat),"$36,409 - $72,644","This position is located in the VISN 9 Consolidated Coding Unit. MRTs (Coder) Outpatient are skilled in classifying medical data from patient health records in the hospital setting, and/or physician-based settings, such as physician offices, group practices, multi-specialty clinics, and specialty centers. These coding practitioners analyze and abstract patients' health records, and assign alpha-numeric codes for each diagnosis and procedure. To perform this task, they must possess expertise in International Classification of Diseases (ICD), Current Procedural Terminology (CPT), and the Healthcare Common Procedure Coding System (HCPCS). MRT (Coder) may also provide education related to coding and documentation. MRTs (Coder) are skilled in classifying medical data from patient health records in the hospital setting, and/or physician-based settings, such as physician offices, group practices, multi-specialty clinics, and specialty centers. These coding practitioners analyze and abstract p",Currently Open
Veterans Health Administration,Medical Records Technician (Cancer Registrar),"$65,202 - $84,769","The incumbent in the Medical Records Technician (Cancer Registrar) position is responsible for planning, organizing, actuating, and control of all activities in the Oncology Patient Registry Program. In this capacity, the Cancer Registrar coordinates all activities associated with the Cancer Program at the VA Hudson Valley Healthcare System.",Currently Open
Veterans Health Administration,Medical Records Technician (Coder - Inpatient),"$36,409 - $72,644","This position is located in the Health Information Management (HIM) section at the California VA Health Care System (CVAHCS). MRTs (Coder) are skilled in classifying medical data from patient health records in the hospital setting, and/or physician-based settings, such as physician offices, group practices, multi-specialty clinics, and specialty centers. These coding practitioners analyze and abstract patients' health records, and assign alpha-numeric codes for each diagnosis and procedure.",Currently Open
Veterans Health Administration,Medical Records Technician (Coder - Inpatient),"$36,049 - $71,932","The 2-page Resume requirement does not apply to this occupational series. For more information, refer to ""Required Documents"" below. This position is located in the Health Information Management (HIM) section at the Salem VA Medical Center. Medical Records Techs (Coders) are skilled in classifying medical data from patient health records in the hospital setting, and/or physician-based settings, such as physician offices, group practices, multi-specialty clinics, and specialty centers.",Currently Open
Veterans Health Administration,Medical Records Technician (Coder - Inpatient/Outpatient),"$36,409 - $90,814","Total Rewards of a Allied Health Professional GS-4 Applies knowledge of medical record content, medical terminology, anatomy & physiology, diseases processes, and official coding guidelines to assign codes to the most basic and routine outpatient and inpatient services. Selects and assigns codes from the current versions of the International Classification of Diseases (ICD) Clinical Modification (CM) and Procedure Coding System (PCS) for inpatient facility MS-DRG coding, and Current Procedural Terminology (CPT), and/or Healthcare Common Procedure Coding System (HCPCS) for inpatient professional coding and outpatient coding. Incumbent with instruction from a senior coder or supervisor learns to select diagnosis, operation, or procedure codes based on the accepted coding practices, guidelines, conventions and policy. GS-5 Establishes the primary and secondary diagnosis and procedure codes for billable outpatient encounters for one specialty or subspecialty following applicable regulation",Currently Open
Veterans Health Administration,Medical Records Technician (Coder) Auditor,"$66,505 - $86,461","Auditors must be able to perform all duties of a MRT (Coder). Auditors serve as experts of current coding conventions and guidelines related to professional and facility coding. Auditors perform audits of encounters to identify areas of non-compliance in coding. They facilitate improved overall quality, completeness, and accuracy of coded data.",Currently Open
Veterans Health Administration,Medical Records Technician (Coder) Auditor,"$66,505 - $86,461","General Description For all assignments above the journey level, the higher-level duties must consist of significant scope, complexity/difficulty, range of variety, and be performed by the incumbent at least 25% of the time. Auditors must be able to perform all duties of a MRT -Coder. Auditors serve as experts of current coding conventions and guidelines related to professional and facility coding. Auditors perform audits of encounters to identify areas of non-compliance in coding. They facilitate improved overall quality, completeness, and accuracy of coded data. They provide recommendations on appropriate coding and are responsible for maintaining current knowledge of the various regulatory guidelines and requirements. They assist facility staff with documentation requirements to completely and accurately reflect the patient care provided. They provide technical support in the areas of regulations and policy, coding requirements, resident supervision, reimbursement, workload, accepte",Currently Open
Veterans Health Administration,Medical Records Technician (Coder) Outpatient and Inpatient - External,"$41,236 - $82,275","The Medical Records Technician (Coder) is responsible for performing a quality review of patient care documents and assigning codes specific for the type of care provided. Duties may include, but are not limited to: Identifies the principal diagnosis and principal procedure (when applicable) for every inpatient discharge; also identifies significant complications and/or co-morbidities treated or impacting treatment to correctly determine the proper Diagnostic Related Group (DRG). Upon patient admission to the Nursing Home Care Unit, codes the admission diagnosis for use by unit staff. Conducts re-reviews of codes abstracted for patient encounters (inpatient and outpatient) identified by the VISN VERA committee to determine if based on the documentation the specific VERA coding requirements were followed; corrects coding as needed to ensure proper patient classification in the VERA program. Codes inpatient professional fee services for identified inpatient admissions in support of the M",Currently Open
Veterans Health Administration,Medical Records Technician (Coder) Outpatient and Inpatient - Internal,"$41,236 - $82,275","The Medical Records Technician (Coder) is responsible for performing a quality review of patient care documents and assigning codes specific for the type of care provided. Duties may include, but are not limited to: Identifies the principal diagnosis and principal procedure (when applicable) for every inpatient discharge; also identifies significant complications and/or co-morbidities treated or impacting treatment to correctly determine the proper Diagnostic Related Group (DRG). Upon patient admission to the Nursing Home Care Unit, codes the admission diagnosis for use by unit staff. Conducts re-reviews of codes abstracted for patient encounters (inpatient and outpatient) identified by the VISN VERA committee to determine if based on the documentation the specific VERA coding requirements were followed; corrects coding as needed to ensure proper patient classification in the VERA program. Codes inpatient professional fee services for identified inpatient admissions in support of the M",Currently Open
Veterans Health Administration,Medical Records Technician (Coder-Outpatient and Inpatient),"$36,049 - $79,030","GS-04: Applies knowledge of medical record content, medical terminology, anatomy & physiology, diseases processes, and official coding guidelines to assign codes to the most basic and routine outpatient and inpatient services. Selects and assigns codes from the current versions of the International Classification of Diseases (ICD) Clinical Modification (CM) and Procedure Coding System (PCS) for inpatient facility MS-DRG coding, and Current Procedural Terminology (CPT), and/or Healthcare Common Procedure Coding System (HCPCS) for inpatient professional coding and outpatient coding. With instruction from a senior coder or supervisor learns to select diagnosis, operation, or procedure codes based on the accepted coding practices, guidelines, conventions and policy. GS-05: Assigns codes to documented patient care encounters (inpatient and outpatient); encounters are routine and less complex or for only one specialty or subspecialty. Has basic knowledge of medical terminology, anatomy & phy",Currently Open
Veterans Health Administration,Medical Records Technician (Coder-Outpatient),"$36,409 - $72,644",The VA Northeast Ohio Healthcare System is recruiting for a Medical Records Technician (Coder-Outpatient) position. The Medical Records Technician (Coder-Outpatient) is located in the Health Information Management Services (HIMs) section within Patient Care Administrative Service.,Currently Open
Veterans Health Administration,Medical Records Technician Coder (Outpatient and Inpatient),"$36,409 - $72,644","This position is located in the Health Information Management (HIM) section at the Boise VA Medical Center. MRTs (Coder) are skilled in classifying medical data from patient health records in the hospital setting, and/or physician-based settings, such as physician offices, group practices, multi-specialty clinics, and specialty centers.",Currently Open
Veterans Health Administration,Medical Records Technician Coder (Outpatient and Inpatient),"$36,409 - $72,644","This position is located in the Health Information Management (HIM) section at the Boise VA Medical Center. MRTs (Coder) are skilled in classifying medical data from patient health records in the hospital setting, and/or physician-based settings, such as physician offices, group practices, multi-specialty clinics, and specialty centers.",Currently Open
Veterans Health Administration,Medical Support Assistant,"$50,199 - $65,253","This Medical Support Assistant position will be assigned to support contingency operations and cross service coverage operations as Medical Support Assistant (MSA), for the Bedford VA Medical Center. The incumbent is responsible for a wide range of assignments and provides administrative support to increase scheduling and communication integrity across all services. This position includes: triaging customer calls as the facility phone operator, interacting with family members of deceased veterans as a decedent affairs clerk, facilitating commitments to include filing paperwork with local authorities, and performing customer front office reception. In addition, the incumbent may assist with other daily taskings such as filing paperwork and maintaining office supplies. Duties include but are not limited to: Collects and updates insurance information from Veterans, family members and other eligible patients. Prepares correspondence and memos as needed. Screens/receive phone calls in a cou",Currently Open
Veterans Health Administration,Medical Support Assistant (Advanced),"$55,959 - $72,744","The AMSA positions are located in multiple services at the BOSTON VA MEDICAL CENTER, located at multiple campuses. These position are full time. Most shifts are scheduled during the day but some shifts could be evenings, nights, and include weekends/holidays and may work tours other than their regular scheduled tour, including working evenings, nights, weekends/holidays to cover shortages or high patient volume. Shift changes will be considered based on patient and facility needs.",Currently Open
Veterans Health Administration,Medical Support Assistant (Advanced),"$52,794 - $68,700",,Currently Open
Veterans Health Administration,Medical Support Assistant (Advanced),"$55,959 - $72,744",,Currently Open
Veterans Health Administration,Medical Support Assistant (Advanced),"$52,848 - $68,700",,Currently Open
Veterans Health Administration,Nursing Assistant,"$43,491 - $70,999",,Currently Open
Veterans Health Administration,Nursing Assistant - 3 North,"$37,991 - $62,020","The incumbent in this position is an active participant in the nursing team at the Lexington VA Health Care System and works a rotating tour of duty in an Acute Care Unit. The incumbent will build upon knowledge of basic nursing care and standardized procedures to provide service to patients. He/she is able to perform tasks after receipt of patient data and information. The incumbent's assignment is related to the specific needs of the area during a given tour as well as routine functions of the area. The incumbent is primarily assigned to functions on any given tour of duty and not a specified assignment of a group of patients. However, an assignment of a designated group of patients or specific patient interventions may be required. Managing equipment special to the area is required. The incumbent will assist the RN with patient care, obtain vital signs, obtain electrocardiograms, proper lead placement for monitoring, perform phlebotomy and do simple wound dressings. Total Rewards of",Currently Open
Veterans Health Administration,Nursing Assistant - ICU,"$37,991 - $62,020","The incumbent in this position is an active participant in the nursing team at the Lexington VA Health Care System and works a tour of duty in the ICU. The incumbent will build upon knowledge of basic nursing care and standardized procedures to provide service to patients. He/she is able to perform tasks after receipt of patient data and information. The incumbent's assignment is related to the specific needs of the area during a given tour as well as routine functions of the area. The incumbent is primarily assigned to functions on any given tour of duty and not a specified assignment of a group of patients. However, an assignment of a designated group of patients or specific patient interventions may be required. Managing equipment special to the area is required. The incumbent will assist the RN with patient care, obtain vital signs, obtain electrocardiograms, proper lead placement for monitoring, perform phlebotomy and do simple wound dressings. Although this position is organizati",Currently Open
Veterans Health Administration,Nursing Assistant - Patient Care (Community Living Center),"$38,370 - $62,647","Total Rewards of a Allied Health Professional The incumbent in this position is an active participant in the nursing team at the Lexington VA Health Care System and works a rotating tour of duty in the Community Living Center. The incumbent will build upon knowledge of basic nursing care and standardized procedures to provide service to patients. He/she is able to perform tasks after receipt of patient data and information. The incumbent's assignment is related to the specific needs of the area during a given tour as well as routine functions of the area. The incumbent is primarily assigned to functions on any given tour of duty and not a specified assignment of a group of patients. However, an assignment of a designated group of patients or specific patient interventions may be required. Managing equipment special to the area is required. The incumbent will assist the RN with patient care, obtain vital signs, obtain electrocardiograms, proper lead placement for monitoring, perform phl",Currently Open
Veterans Health Administration,Peer Specialist,"$61,722 - $100,315","This Peer Specialist position may only be filled with a Veteran that meets statutory requirements that are detailed in the qualifications section. This position is part of the Veterans Crisis Line (VCL). The VCL is a 24-hour, 7-days-a-week, 365-days-a-year service aimed at connecting callers worldwide to a caring, qualified VA employee. The VCL's mission is to provide 24/7, world-class suicide prevention and crisis intervention services to Veterans, Service Members, and their family members.",Currently Open
Veterans Health Administration,Peer Specialist,"$61,722 - $100,315","The Peer Specialist functions as an interdisciplinary team member, assisting physicians and other professional/non-professional personnel in a rehabilitation treatment program. Peer specialists perform a variety of therapeutic and supportive tasks that include assisting Veterans in articulating their goals for recovery and personal wellness, learning, and practicing new skills, helping them monitor their progress, assisting them in their treatment, modeling effective coping techniques and self-help strategies based on the peer specialist's own recovery experience, and supporting them in advocating for themselves to obtain effective services. Duties include, but are not limited to the following: Serve as an advocate and provides information and peer support for Veterans. Participate in the service, training, consultation, and other professional activities of VA health care services and functions as a fully vested member of the multidisciplinary team. Utilize recovery tools to coach Vete",Currently Open
Veterans Health Administration,Physician (Anesthesiology),"$375,000 - $400,000","The 2-page Resume requirement does not apply to this occupational series. For more information, refer to Required Documents below.",Currently Open
Veterans Health Administration,Physician (Anesthesiology),"$375,000 - $400,000",,Currently Open
Veterans Health Administration,Physician (Chief of Radiology/Imaging),"$275,000 - $400,000","This position is eligible for the Education Debt Reduction Program (EDRP), a student loan payment reimbursement program. You must meet specific eligibility requirements per VHA policy and submit your EDRP application within four months of appointment. Program Approval, award amount (up to $200,000) & eligibility period (one to five years) are determined by the VHA Education Loan Repayment Services program office after review of the EDRP application. Former EDRP participants ineligible to apply.",Currently Open
Veterans Health Administration,Physician (Chief of Radiology/Imaging),"$275,000 - $400,000","The Imaging Service Chief, a radiologist, leads and oversees all imaging functions within the Roseburg VA Health Care System, Jonathan M. Wainwright Memorial VA Medical Center, and VA Southern Oregon Rehabilitation Center & Clinics. VA offers a comprehensive total rewards package. VHA Physician Total Rewards. Recruitment Incentive (Sign-on Bonus): Not applicable Permanent Change of Station (Relocation Assistance): May qualify for reimbursement of relocation expenses in accordance with agency policy. EDRP Authorized: Former EDRP participants ineligible to apply for incentive. Contact V20CompensationTeam@va.gov, the EDRP Coordinator for questions/assistance Pay: Competitive salary, annual performance bonus, regular salary increases Paid Time Off: 50-55 days of paid time off per year (26 days of annual leave, 13 days of sick leave, 11 paid Federal holidays per year and possible 5 day paid absence for CME) Retirement: Traditional federal pension (5 years vesting) and federal 401K with up t",Currently Open
Veterans Health Administration,Physician (Diagnostic Radiologist),"$350,000 - $400,000","This position is eligible for the Education Debt Reduction Program (EDRP), a student loan payment reimbursement program. You must meet specific eligibility requirements per VHA policy and submit your EDRP application within four months of appointment. Program Approval, award amount (up to $200,000) & eligibility period (one to five years) are determined by the VHA Education Loan Repayment Services program office after review of the EDRP application. Former EDRP participants ineligible to apply.",Currently Open
Veterans Health Administration,Physician (Physical Medicine & Rehab),"$240,000 - $289,900","This position is eligible for the Education Debt Reduction Program (EDRP), a student loan payment reimbursement program. You must meet specific eligibility requirements per VHA policy and submit your EDRP application within four months of appointment. Program Approval, award amount (up to $200,000) & eligibility period (one to five years) are determined by the VHA Education Loan Repayment Services program office after review of the EDRP application. Former EDRP participants ineligible to apply.",Currently Open
Veterans Health Administration,Physician (Physical Medicine & Rehab),"$240,000 - $289,900",,Currently Open
Veterans Health Administration,Physician (Primary Care),"$260,000 - $275,000","This vacancy will remain open until filled. Duties may include but are not limited to: Provide comprehensive assessment, diagnostic work-up and clinic intervention, including comprehensive patient assessment, health history, physical examinations, and patient education to Veterans in the Primary Care team setting. Initiate appropriate referrals and consultations to other clinical services. Initiate, evaluate, and change orders for medications. Follow performance measure guidelines, including completion of clinical reminders in CPRS, access and timeliness of standards, prescription order entry, National VA formulary requirements and customer service standards. Order and evaluate diagnostic tests as appropriate, recommend treatment and/or referral. Demonstrates flexibility in responding to clinic demands, adhere to personal and professional obligations and responsibilities, practice and maintain ethical standards and sustain a work environment that is harmonious and customer service orie",Currently Open
Veterans Health Administration,"Physician (Primary Care)  Hyannis, MA CBOC","$275,000 - $310,000",,Currently Open
Veterans Health Administration,Physician (Psychiatrist),"$220,000 - $300,000","This position is eligible for the Education Debt Reduction Program (EDRP), a student loan payment reimbursement program. You must meet specific eligibility requirements per VHA policy and submit your EDRP application within four months of appointment. Program Approval, award amount (up to $200,000) & eligibility period (one to five years) are determined by the VHA Education Loan Repayment Services program office after review of the EDRP application. Former EDRP participants ineligible to apply.",Currently Open
Veterans Health Administration,Physician (Psychiatry - Chief) EDRP Authorized,"$145,000 - $320,000","The CRH is a repository of clinical and administrative staff that serve all Veterans Affairs facilities within VISN 17, and some sites outside the network, to provide virtual and in-person care to support Veterans. The CRH encompasses services offered in primary care, mental health, various specialty areas, and tele urgent care.",Currently Open
Veterans Health Administration,"Physician (VISN 22 Clinical Resource Hub, Tele-Endocrinology)","$123,077 - $315,000","The Endocrine Physician with VISN 22 Clinical Resource Hub (CRH), Tele-Endocrinology, will provide specialty endocrine care in accordance with approved scope of practice and all applicable state and/or Federal guidelines in support of the medicine and endocrinology services. The physician will assist the Tele-Endocrinology Program Manager in providing guidance to other program team members and provide cross coverage as needed",Currently Open
Veterans Health Administration,"Physician (VISN 22 Clinical Resource Hub, Tele-Endocrinology)","$123,077 - $315,000","The Endocrine Physician with VISN 22 Clinical Resource Hub (CRH), Tele-Endocrinology, will provide specialty endocrine care in accordance with approved scope of practice and all applicable state and/or Federal guidelines in support of the medicine and endocrinology services. The physician will assist the Tele-Endocrinology Program Manager in providing guidance to other program team members and provide cross coverage as needed",Currently Open
Veterans Health Administration,"Physician (VISN 22 Clinical Resource Hub, Tele-Endocrinology)","$123,077 - $315,000","Position is remote eligible and is currently exempted from return to office (RTO) requirements. Remote exempted positions are reviewed every 6 months and DOES NOT imply permanent remote work status. This position may be required to report to an office in the future. VA offers a comprehensive total rewards package. VHA Physician Total Rewards. Pay: Competitive salary, annual performance bonus, regular salary increases Paid Time Off: 50-55 days of paid time off per year (26 days of annual leave, 13 days of sick leave, 11 paid Federal holidays per year and possible 5 day paid absence for CME) Retirement: Traditional federal pension (5 years vesting) and federal 401K with up to 5% in contributions by VA Insurance: Federal health/vision/dental/term life/long-term care (many federal insurance programs can be carried into retirement) Licensure: 1 full and unrestricted license from any US State or territory CME: Possible $1,000 per year reimbursement (must be full-time with board certification",Currently Open
Veterans Health Administration,Physician - Advanced Cardiac Imaging Cardiologist,"$280,000 - $330,000","The 2-page Resume requirement does not apply to this occupational series. For more information, refer to Required Documents below.",Currently Open
Veterans Health Administration,Physician - Advanced Cardiac Imaging Cardiologist,"$280,000 - $330,000",,Currently Open
Veterans Health Administration,Physician - Chief (Radiology),"$225,000 - $380,000","This position is eligible for the Education Debt Reduction Program (EDRP), a student loan payment reimbursement program. You must meet specific eligibility requirements per VHA policy and submit your EDRP application within four months of appointment. Program Approval, award amount (up to $200,000) & eligibility period (one to five years) are determined by the VHA Education Loan Repayment Services program office after review of the EDRP application. Former EDRP participants ineligible to apply.",Currently Open
Veterans Health Administration,Physician - Chief (Radiology),"$225,000 - $400,000",,Currently Open
Veterans Health Administration,Physician - Chief General Internal Medicine,"$250,000 - $300,000","The 2-page Resume requirement does not apply to this occupational series. For more information, refer to Required Documents below.",Currently Open
Veterans Health Administration,Physician - Chief General Internal Medicine,"$250,000 - $300,000",,Currently Open
Veterans Health Administration,Physician - Diagnostic Radiologist,"$375,000 - $400,000","This position is eligible for the Education Debt Reduction Program , a student loan payment reimbursement program. You must meet specific eligibility requirements per VHA policy and submit your EDRP application within four months of appointment. Program Approval, award amount (up to $200,000) & eligibility period (one to five years) are determined by the VHA Education Loan Repayment Services program office after review of the EDRP application. Former EDRP participants ineligible to apply.",Currently Open
Veterans Health Administration,Physician - Diagnostic Radiologist,"$375,000 - $400,000","This is an open continuous announcement. Applications will be accepted on an ongoing basis and qualified candidates will be considered as vacancies become available. Applications will remain on file until September 30, 2026. The Ralph H. Johnson VA Health Care System is a tertiary care teaching hospital providing the highest-level quality complex care (1A) with services ranging from cardio-thoracic and neurosurgery to primary and mental health care. We have a transplant program, surgical robotics unit, and medical research program for approximately 80,000 Veterans along the South Carolina and Georgia Coast. This health care system includes a full range of inpatient and outpatient care, medical and surgical intensive care, and a state-of-the-art 3D printing facility. The Ralph H. Johnson VA is rated is the second fastest growing VA in the U.S. for percentage patient growth. We are proud to be rated as a 5-Star medical center for quality and efficiency, the highest possible rating accord",Currently Open
